Expt_No,T_Ambient,Cd_mM,Se_mM,OA_Cd_ratio,T_reactor,t_s,peak_nm,FWHM_nm,peak_eV,FWHM_eV,peak_height (Abs)
18,21.92,10,10,40,240,550.001,561.087,43.749,2.209,0.163,0.416
18,21.92,10,10,40,240,600.001,562.175,43.652,2.205,0.162,0.417
20,22.09,10,10,40,260,10.001,481.154,30.428,2.577,0.157,0.165
20,22.09,10,10,40,260,20.837,501.16,37.313,2.474,0.175,0.194
20,22.09,10,10,40,260,30.9,508.006,41.182,2.441,0.187,0.222
20,22.09,10,10,40,260,40.983,516.923,41.019,2.398,0.18,0.252
20,22.09,10,10,40,260,50.996,522.877,41.55,2.371,0.178,0.276
20,22.09,10,10,40,260,62.879,528.273,41.322,2.347,0.174,0.301
20,22.09,10,10,40,260,80.001,534.138,41.249,2.321,0.17,0.327
20,22.09,10,10,40,260,100.001,539.629,40.888,2.297,0.165,0.353
20,22.09,10,10,40,260,120.001,543.725,40.566,2.28,0.161,0.376
20,22.09,10,10,40,260,140.001,547.315,40.159,2.265,0.158,0.394
20,22.09,10,10,40,260,160.001,549.955,40.147,2.254,0.156,0.41
20,22.09,10,10,40,260,200.001,553.775,39.902,2.239,0.153,0.429
20,22.09,10,10,40,260,240.001,556.871,39.846,2.226,0.152,0.447
20,22.09,10,10,40,260,280.001,559.186,39.564,2.217,0.149,0.459
20,22.09,10,10,40,260,330.001,561.736,39.141,2.207,0.146,0.47
20,22.09,10,10,40,260,380.001,563.656,38.832,2.2,0.144,0.479
20,22.09,10,10,40,260,500.001,566.858,38.226,2.187,0.141,0.492
20,22.09,10,10,40,260,550.001,567.812,38.037,2.183,0.14,0.495
20,22.09,10,10,40,260,600.001,568.652,37.726,2.18,0.138,0.497
21,22.02,10,10,40,260,10.001,481.249,30.758,2.577,0.159,0.169
21,22.02,10,10,40,260,20.924,500.921,37.787,2.475,0.178,0.201
21,22.02,10,10,40,260,30.997,507.284,41.913,2.444,0.191,0.225
21,22.02,10,10,40,260,41.062,516.464,41.78,2.401,0.184,0.26
21,22.02,10,10,40,260,51.074,522.486,42.104,2.373,0.181,0.285
21,22.02,10,10,40,260,62.931,527.731,42.216,2.349,0.178,0.312
21,22.02,10,10,40,260,80.001,533.749,41.846,2.323,0.172,0.341
21,22.02,10,10,40,260,100.001,539.241,41.667,2.299,0.168,0.37
21,22.02,10,10,40,260,120.001,543.546,41.19,2.281,0.164,0.394
21,22.02,10,10,40,260,140.001,547.054,40.689,2.266,0.16,0.415
21,22.02,10,10,40,260,160.001,549.532,40.564,2.256,0.158,0.432
21,22.02,10,10,40,260,200.001,553.415,40.446,2.24,0.155,0.453
21,22.02,10,10,40,260,240.001,556.561,40.388,2.228,0.154,0.472
21,22.02,10,10,40,260,280.001,558.813,40.276,2.219,0.152,0.485
21,22.02,10,10,40,260,330.001,561.406,39.77,2.208,0.149,0.498
21,22.02,10,10,40,260,380.001,563.163,39.501,2.201,0.147,0.507
21,22.02,10,10,40,260,450.001,565.257,39.128,2.193,0.145,0.516
21,22.02,10,10,40,260,500.001,566.546,38.812,2.188,0.143,0.521
21,22.02,10,10,40,260,550.001,567.512,38.64,2.185,0.142,0.525
21,22.02,10,10,40,260,600.001,568.353,38.384,2.181,0.141,0.527
22,21.87,10,10,40,260,10.001,482.197,31.391,2.572,0.161,0.177
22,21.87,10,10,40,260,20.891,501.089,38.341,2.474,0.18,0.208
22,21.87,10,10,40,260,30.911,508.018,41.897,2.44,0.19,0.236
22,21.87,10,10,40,260,40.992,516.115,42.322,2.402,0.186,0.269
22,21.87,10,10,40,260,50.995,522.422,42.512,2.373,0.182,0.298
22,21.87,10,10,40,260,62.872,527.575,42.529,2.35,0.179,0.326
22,21.87,10,10,40,260,80.001,533.566,42.177,2.323,0.174,0.358
22,21.87,10,10,40,260,100.001,539.025,41.978,2.3,0.17,0.388
22,21.87,10,10,40,260,120.001,543.477,41.325,2.281,0.164,0.413
22,21.87,10,10,40,260,140.001,546.826,40.998,2.267,0.161,0.435
22,21.87,10,10,40,260,160.001,549.636,40.622,2.256,0.158,0.453
22,21.87,10,10,40,260,200.001,553.314,40.475,2.241,0.156,0.474
22,21.87,10,10,40,260,240.001,556.424,40.378,2.228,0.154,0.493
22,21.87,10,10,40,260,280.001,558.821,40.222,2.219,0.152,0.508
22,21.87,10,10,40,260,330.001,561.292,39.722,2.209,0.149,0.52
22,21.87,10,10,40,260,380.001,563.139,39.488,2.201,0.147,0.53
22,21.87,10,10,40,260,500.001,566.291,38.869,2.189,0.143,0.543
22,21.87,10,10,40,260,550.001,567.172,38.692,2.186,0.142,0.546
22,21.87,10,10,40,260,600.001,568.071,38.471,2.182,0.141,0.548
23,21.99,10,10,40,260,10.001,481.536,30.754,2.575,0.158,0.174
23,21.99,10,10,40,260,21.012,501.134,37.373,2.474,0.176,0.199
23,21.99,10,10,40,260,31.016,508.591,41.047,2.438,0.186,0.224
23,21.99,10,10,40,260,41.104,516.515,41.619,2.4,0.183,0.253
23,21.99,10,10,40,260,51.119,522.803,41.724,2.371,0.179,0.279
23,21.99,10,10,40,260,62.99,527.839,41.882,2.349,0.176,0.305
23,21.99,10,10,40,260,80.001,533.854,41.619,2.322,0.171,0.331
23,21.99,10,10,40,260,100.001,539.433,41.338,2.298,0.167,0.359
23,21.99,10,10,40,260,120.001,543.648,40.932,2.281,0.163,0.385
23,21.99,10,10,40,260,140.001,547.303,40.512,2.265,0.159,0.403
23,21.99,10,10,40,260,160.001,550.067,40.211,2.254,0.156,0.419
23,21.99,10,10,40,260,200.001,553.751,40.039,2.239,0.154,0.438
23,21.99,10,10,40,260,240.001,556.862,39.917,2.226,0.152,0.456
23,21.99,10,10,40,260,280.001,559.075,39.726,2.218,0.15,0.469
23,21.99,10,10,40,260,330.001,561.713,39.211,2.207,0.147,0.481
23,21.99,10,10,40,260,380.001,563.605,38.99,2.2,0.145,0.49
23,21.99,10,10,40,260,450.001,565.499,38.711,2.192,0.143,0.499
23,21.99,10,10,40,260,500.001,566.65,38.434,2.188,0.142,0.504
23,21.99,10,10,40,260,550.001,567.748,38.21,2.184,0.14,0.507
23,21.99,10,10,40,260,600.001,568.589,37.969,2.18,0.139,0.509
24,22.04,10,10,40,260,10.001,480.014,29.882,2.584,0.155,0.173
24,22.04,10,10,40,260,20.931,501.344,36.365,2.473,0.171,0.194
24,22.04,10,10,40,260,30.998,508.167,40.467,2.44,0.184,0.215
24,22.04,10,10,40,260,41.016,517.23,40.385,2.397,0.177,0.244
24,22.04,10,10,40,260,51.083,522.891,41.003,2.371,0.176,0.265
24,22.04,10,10,40,260,62.964,528.457,41.043,2.346,0.172,0.287
24,22.04,10,10,40,260,80.001,534.455,40.782,2.32,0.168,0.313
24,22.04,10,10,40,260,100.001,539.96,40.364,2.296,0.163,0.337
24,22.04,10,10,40,260,120.001,544.093,39.98,2.279,0.159,0.359
24,22.04,10,10,40,260,140.001,547.575,39.767,2.264,0.156,0.375
24,22.04,10,10,40,260,160.001,550.287,39.606,2.253,0.154,0.39
24,22.04,10,10,40,260,200.001,554.087,39.499,2.238,0.152,0.409
24,22.04,10,10,40,260,240.001,557.209,39.442,2.225,0.15,0.425
24,22.04,10,10,40,260,280.001,559.779,39.011,2.215,0.147,0.437
24,22.04,10,10,40,260,330.001,561.944,38.719,2.206,0.145,0.446
24,22.04,10,10,40,260,380.001,563.983,38.53,2.198,0.143,0.456
24,22.04,10,10,40,260,450.001,565.913,38.19,2.191,0.141,0.463
24,22.04,10,10,40,260,500.001,567.179,37.879,2.186,0.139,0.467
24,22.04,10,10,40,260,550.001,568.144,37.732,2.182,0.138,0.469
24,22.04,10,10,40,260,600.001,568.962,37.547,2.179,0.137,0.471
26,21.91,10,10,40,280,10.001,493.531,31.955,2.513,0.156,0.206
26,21.91,10,10,40,280,21.057,511.663,38.318,2.423,0.173,0.247
26,21.91,10,10,40,280,31.057,520.667,40.277,2.381,0.175,0.29
26,21.91,10,10,40,280,41.122,526.414,40.954,2.355,0.173,0.314
26,21.91,10,10,40,280,51.149,532.607,40.569,2.328,0.168,0.342
26,21.91,10,10,40,280,63.044,537.579,40.382,2.306,0.164,0.366
26,21.91,10,10,40,280,80.001,543.535,39.711,2.281,0.158,0.396
26,21.91,10,10,40,280,100.001,549.266,38.341,2.257,0.15,0.423
26,21.91,10,10,40,280,120.001,553.64,37.466,2.239,0.145,0.444
26,21.91,10,10,40,280,140.001,556.822,36.701,2.227,0.14,0.46
26,21.91,10,10,40,280,160.001,559.33,36.064,2.217,0.137,0.472
26,21.91,10,10,40,280,200.001,562.467,35.324,2.204,0.133,0.486
26,21.91,10,10,40,280,240.001,564.896,34.886,2.195,0.13,0.499
26,21.91,10,10,40,280,280.001,566.806,34.371,2.188,0.127,0.509
26,21.91,10,10,40,280,330.001,568.501,33.863,2.181,0.125,0.516
26,21.91,10,10,40,280,380.001,569.657,33.761,2.177,0.124,0.522
26,21.91,10,10,40,280,450.001,570.874,33.502,2.172,0.123,0.525
26,21.91,10,10,40,280,500.001,571.585,33.482,2.169,0.122,0.527
26,21.91,10,10,40,280,550.001,572.216,33.32,2.167,0.122,0.527
26,21.91,10,10,40,280,600.001,572.638,33.3,2.165,0.121,0.527
27,22.11,10,10,40,280,10.001,493.737,31.723,2.512,0.155,0.211
27,22.11,10,10,40,280,20.886,511.956,38.393,2.422,0.173,0.247
27,22.11,10,10,40,280,30.975,521.637,39.866,2.377,0.172,0.294
27,22.11,10,10,40,280,41.003,526.624,41.031,2.354,0.174,0.314
27,22.11,10,10,40,280,51.024,533.167,40.418,2.325,0.167,0.342
27,22.11,10,10,40,280,62.847,538.18,40.226,2.304,0.164,0.367
27,22.11,10,10,40,280,80.001,544.124,39.367,2.279,0.157,0.393
27,22.11,10,10,40,280,100.001,549.524,38.299,2.256,0.15,0.42
27,22.11,10,10,40,280,120.001,553.841,37.33,2.239,0.144,0.439
27,22.11,10,10,40,280,140.001,556.8,36.621,2.227,0.14,0.455
27,22.11,10,10,40,280,160.001,559.373,35.977,2.217,0.137,0.465
27,22.11,10,10,40,280,200.001,562.612,35.1,2.204,0.132,0.477
27,22.11,10,10,40,280,240.001,564.93,34.825,2.195,0.13,0.49
27,22.11,10,10,40,280,280.001,566.787,34.302,2.188,0.127,0.498
27,22.11,10,10,40,280,330.001,568.385,33.963,2.181,0.125,0.505
27,22.11,10,10,40,280,380.001,569.613,33.748,2.177,0.124,0.51
27,22.11,10,10,40,280,450.001,570.626,33.63,2.173,0.123,0.513
27,22.11,10,10,40,280,500.001,571.517,33.407,2.17,0.122,0.512
27,22.11,10,10,40,280,550.001,572.057,33.417,2.168,0.122,0.512
27,22.11,10,10,40,280,600.001,572.488,33.379,2.166,0.122,0.511
28,22.03,10,10,40,280,10.001,493.204,31.287,2.514,0.154,0.199
28,22.03,10,10,40,280,20.876,512.333,37.544,2.42,0.169,0.244
28,22.03,10,10,40,280,30.908,521.351,39.677,2.378,0.172,0.286
28,22.03,10,10,40,280,40.966,527.102,40.421,2.352,0.171,0.306
28,22.03,10,10,40,280,51.037,533.459,39.916,2.324,0.165,0.334
28,22.03,10,10,40,280,62.856,538.616,39.704,2.302,0.161,0.357
28,22.03,10,10,40,280,80.001,544.359,38.953,2.278,0.155,0.381
28,22.03,10,10,40,280,100.001,549.801,37.887,2.255,0.148,0.407
28,22.03,10,10,40,280,120.001,554.137,36.913,2.238,0.143,0.426
28,22.03,10,10,40,280,140.001,557.256,36.25,2.225,0.139,0.44
28,22.03,10,10,40,280,160.001,559.662,35.497,2.215,0.135,0.452
28,22.03,10,10,40,280,200.001,562.804,34.855,2.203,0.131,0.462
28,22.03,10,10,40,280,240.001,565.229,34.377,2.194,0.128,0.474
28,22.03,10,10,40,280,280.001,567.077,33.87,2.187,0.126,0.482
28,22.03,10,10,40,280,330.001,568.68,33.56,2.18,0.124,0.489
28,22.03,10,10,40,280,380.001,569.908,33.286,2.176,0.122,0.492
28,22.03,10,10,40,280,450.001,571.017,33.221,2.171,0.122,0.494
28,22.03,10,10,40,280,500.001,571.755,33.125,2.169,0.121,0.495
28,22.03,10,10,40,280,550.001,572.361,32.996,2.166,0.12,0.494
28,22.03,10,10,40,280,600.001,572.817,32.996,2.165,0.12,0.493
29,21.97,10,10,40,280,10.001,494.187,31.817,2.509,0.155,0.211
29,21.97,10,10,40,280,21.001,511.709,38.687,2.423,0.174,0.247
29,21.97,10,10,40,280,31.027,521.515,40.015,2.377,0.173,0.296
29,21.97,10,10,40,280,41.111,526.903,41.163,2.353,0.174,0.316
29,21.97,10,10,40,280,51.14,533.093,40.519,2.326,0.167,0.344
29,21.97,10,10,40,280,62.98,538.103,40.319,2.304,0.164,0.369
29,21.97,10,10,40,280,80.001,544.012,39.399,2.279,0.157,0.397
29,21.97,10,10,40,280,100.001,549.159,38.299,2.258,0.15,0.422
29,21.97,10,10,40,280,120.001,553.556,37.49,2.24,0.145,0.442
29,21.97,10,10,40,280,140.001,556.849,36.684,2.227,0.14,0.458
29,21.97,10,10,40,280,160.001,559.362,35.914,2.217,0.136,0.47
29,21.97,10,10,40,280,200.001,562.233,35.241,2.205,0.133,0.484
29,21.97,10,10,40,280,240.001,564.836,34.738,2.195,0.13,0.495
29,21.97,10,10,40,280,280.001,566.569,34.361,2.188,0.128,0.505
29,21.97,10,10,40,280,330.001,568.311,33.922,2.182,0.125,0.511
29,21.97,10,10,40,280,380.001,569.559,33.695,2.177,0.124,0.515
29,21.97,10,10,40,280,450.001,570.673,33.562,2.173,0.123,0.517
29,21.97,10,10,40,280,500.001,571.379,33.456,2.17,0.122,0.519
29,21.97,10,10,40,280,550.001,571.991,33.342,2.168,0.122,0.517
29,21.97,10,10,40,280,600.001,572.421,33.34,2.166,0.122,0.516
30,21.86,10,10,40,280,10.001,494.497,33.458,2.508,0.163,0.214
30,21.86,10,10,40,280,20.967,511.099,40.532,2.426,0.182,0.271
30,21.86,10,10,40,280,31.012,520.941,41.337,2.38,0.179,0.33
30,21.86,10,10,40,280,41.035,526.026,42.538,2.357,0.18,0.357
30,21.86,10,10,40,280,51.054,532.285,41.82,2.329,0.173,0.39
30,21.86,10,10,40,280,62.957,537.308,41.429,2.307,0.169,0.42
30,21.86,10,10,40,280,80.001,543.215,40.512,2.282,0.162,0.453
30,21.86,10,10,40,280,100.001,548.767,39.243,2.259,0.154,0.484
30,21.86,10,10,40,280,120.001,553.037,38.247,2.242,0.148,0.507
30,21.86,10,10,40,280,140.001,556.1,37.574,2.23,0.144,0.523
30,21.86,10,10,40,280,160.001,558.512,37.003,2.22,0.141,0.538
30,21.86,10,10,40,280,200.001,561.754,36.068,2.207,0.136,0.552
30,21.86,10,10,40,280,240.001,564.154,35.472,2.198,0.132,0.565
30,21.86,10,10,40,280,280.001,565.881,34.958,2.191,0.13,0.575
30,21.86,10,10,40,280,330.001,567.532,34.629,2.185,0.128,0.582
30,21.86,10,10,40,280,380.001,568.807,34.303,2.18,0.126,0.586
30,21.86,10,10,40,280,450.001,569.986,34.065,2.175,0.125,0.588
30,21.86,10,10,40,280,500.001,570.71,33.914,2.173,0.124,0.589
30,21.86,10,10,40,280,550.001,571.278,33.902,2.17,0.124,0.589
30,21.86,10,10,40,280,600.001,571.714,33.862,2.169,0.124,0.587
32,22.12,10,10,40,300,10.001,503.813,33.727,2.461,0.158,0.255
32,22.12,10,10,40,300,20.845,521.219,39.154,2.379,0.17,0.321
32,22.12,10,10,40,300,30.863,528.556,41.278,2.346,0.173,0.357
32,22.12,10,10,40,300,40.949,535.071,41.405,2.317,0.17,0.397
32,22.12,10,10,40,300,50.956,541.688,40.404,2.289,0.162,0.426
32,22.12,10,10,40,300,62.853,546.543,39.956,2.269,0.158,0.45
32,22.12,10,10,40,300,80.001,551.596,39.263,2.248,0.153,0.476
32,22.12,10,10,40,300,100.001,556.616,38.043,2.228,0.145,0.497
32,22.12,10,10,40,300,120.001,560.322,36.901,2.213,0.14,0.519
32,22.12,10,10,40,300,140.001,563.019,35.897,2.202,0.135,0.531
32,22.12,10,10,40,300,160.001,564.772,35.431,2.195,0.132,0.54
32,22.12,10,10,40,300,200.001,566.817,35.041,2.188,0.13,0.549
32,22.12,10,10,40,300,240.001,568.375,34.539,2.182,0.127,0.555
32,22.12,10,10,40,300,280.001,569.582,34.248,2.177,0.126,0.557
32,22.12,10,10,40,300,330.001,570.502,34.076,2.173,0.125,0.56
32,22.12,10,10,40,300,380.001,571.226,34.021,2.171,0.124,0.559
32,22.12,10,10,40,300,450.001,571.924,33.887,2.168,0.124,0.555
32,22.12,10,10,40,300,550.001,572.682,33.908,2.165,0.123,0.547
32,22.12,10,10,40,300,600.001,572.982,34.028,2.164,0.124,0.54
33,22.01,10,10,40,300,10.001,504.005,33.348,2.46,0.156,0.238
33,22.01,10,10,40,300,20.937,520.911,39.369,2.38,0.171,0.3
33,22.01,10,10,40,300,31.004,530.046,40.328,2.339,0.169,0.348
33,22.01,10,10,40,300,41.071,535.897,40.557,2.314,0.166,0.381
33,22.01,10,10,40,300,51.08,542.347,39.718,2.286,0.159,0.408
33,22.01,10,10,40,300,62.964,547.464,39.252,2.265,0.155,0.431
33,22.01,10,10,40,300,80.001,552.187,38.676,2.245,0.15,0.456
33,22.01,10,10,40,300,100.001,557.083,37.615,2.226,0.144,0.476
33,22.01,10,10,40,300,120.001,560.815,36.352,2.211,0.137,0.495
33,22.01,10,10,40,300,140.001,563.314,35.515,2.201,0.133,0.506
33,22.01,10,10,40,300,160.001,565.086,35.121,2.194,0.131,0.515
33,22.01,10,10,40,300,200.001,567.252,34.546,2.186,0.128,0.523
33,22.01,10,10,40,300,240.001,568.858,34.161,2.18,0.126,0.529
33,22.01,10,10,40,300,280.001,570.043,33.879,2.175,0.124,0.532
33,22.01,10,10,40,300,330.001,571.003,33.712,2.171,0.123,0.534
33,22.01,10,10,40,300,380.001,571.707,33.665,2.169,0.123,0.534
33,22.01,10,10,40,300,450.001,572.267,33.714,2.167,0.123,0.532
33,22.01,10,10,40,300,500.001,572.79,33.676,2.165,0.123,0.527
33,22.01,10,10,40,300,550.001,573.071,33.797,2.164,0.123,0.522
33,22.01,10,10,40,300,600.001,573.388,33.891,2.163,0.123,0.515
34,21.9,10,10,40,300,10.001,503.811,34.668,2.461,0.162,0.254
34,21.9,10,10,40,300,20.96,520.716,40.286,2.381,0.175,0.333
34,21.9,10,10,40,300,30.987,529.694,41.124,2.34,0.172,0.39
34,21.9,10,10,40,300,40.999,534.83,41.811,2.318,0.172,0.424
34,21.9,10,10,40,300,51.081,541.314,40.987,2.29,0.165,0.456
34,21.9,10,10,40,300,62.939,546.476,40.365,2.269,0.159,0.481
34,21.9,10,10,40,300,80.001,551.395,39.833,2.249,0.155,0.509
34,21.9,10,10,40,300,100.001,556.358,38.45,2.229,0.147,0.535
34,21.9,10,10,40,300,120.001,559.99,37.315,2.214,0.141,0.555
34,21.9,10,10,40,300,140.001,562.689,36.302,2.204,0.136,0.566
34,21.9,10,10,40,300,160.001,564.36,35.821,2.197,0.134,0.575
34,21.9,10,10,40,300,200.001,566.455,35.404,2.189,0.131,0.585
34,21.9,10,10,40,300,240.001,568.063,34.982,2.183,0.129,0.59
34,21.9,10,10,40,300,280.001,569.26,34.65,2.178,0.127,0.594
34,21.9,10,10,40,300,330.001,570.319,34.246,2.174,0.125,0.595
34,21.9,10,10,40,300,380.001,571.007,34.191,2.171,0.125,0.595
34,21.9,10,10,40,300,450.001,571.59,34.251,2.169,0.125,0.592
34,21.9,10,10,40,300,500.001,572.082,34.123,2.167,0.124,0.588
34,21.9,10,10,40,300,550.001,572.345,34.254,2.166,0.125,0.583
35,21.94,10,10,40,300,10.001,503.737,33.323,2.462,0.156,0.235
35,21.94,10,10,40,300,20.918,520.2,39.992,2.383,0.174,0.294
35,21.94,10,10,40,300,30.934,530.129,40.219,2.339,0.168,0.35
35,21.94,10,10,40,300,40.989,535.671,40.859,2.315,0.168,0.382
35,21.94,10,10,40,300,51.062,542.163,39.996,2.287,0.16,0.409
35,21.94,10,10,40,300,62.906,547.233,39.471,2.266,0.156,0.433
35,21.94,10,10,40,300,80.001,552.296,38.747,2.245,0.15,0.458
35,21.94,10,10,40,300,100.001,557.1,37.573,2.226,0.144,0.481
35,21.94,10,10,40,300,120.001,560.727,36.36,2.211,0.137,0.498
35,21.94,10,10,40,300,140.001,563.234,35.54,2.201,0.133,0.509
35,21.94,10,10,40,300,160.001,564.995,35.132,2.195,0.131,0.517
35,21.94,10,10,40,300,200.001,566.959,34.702,2.187,0.129,0.525
35,21.94,10,10,40,300,240.001,568.739,34.18,2.18,0.126,0.53
35,21.94,10,10,40,300,280.001,569.868,34.016,2.176,0.125,0.534
35,21.94,10,10,40,300,330.001,570.835,33.853,2.172,0.124,0.536
35,21.94,10,10,40,300,380.001,571.509,33.811,2.17,0.124,0.537
35,21.94,10,10,40,300,450.001,572.206,33.723,2.167,0.123,0.535
35,21.94,10,10,40,300,500.001,572.632,33.774,2.165,0.123,0.53
35,21.94,10,10,40,300,550.001,573,33.8,2.164,0.123,0.525
35,21.94,10,10,40,300,600.001,573.306,33.776,2.163,0.123,0.521
36,22.15,10,10,40,300,10.001,503.794,33.535,2.461,0.157,0.247
36,22.15,10,10,40,300,20.904,521.18,39.077,2.379,0.169,0.31
36,22.15,10,10,40,300,30.934,529.308,40.791,2.342,0.171,0.352
36,22.15,10,10,40,300,40.968,535.594,40.98,2.315,0.168,0.383
36,22.15,10,10,40,300,51.045,541.818,40.215,2.288,0.162,0.413
36,22.15,10,10,40,300,62.902,547.064,39.523,2.266,0.156,0.437
36,22.15,10,10,40,300,80.001,552.146,38.862,2.246,0.151,0.464
36,22.15,10,10,40,300,100.001,557.018,37.648,2.226,0.144,0.487
36,22.15,10,10,40,300,120.001,560.652,36.326,2.212,0.137,0.505
36,22.15,10,10,40,300,140.001,563.056,35.794,2.202,0.134,0.515
36,22.15,10,10,40,300,160.001,564.865,35.351,2.195,0.132,0.525
36,22.15,10,10,40,300,200.001,567.019,34.807,2.187,0.129,0.533
36,22.15,10,10,40,300,240.001,568.64,34.385,2.181,0.127,0.539
36,22.15,10,10,40,300,280.001,569.781,34.04,2.176,0.125,0.543
36,22.15,10,10,40,300,330.001,570.78,33.94,2.172,0.124,0.544
36,22.15,10,10,40,300,380.001,571.495,33.84,2.17,0.124,0.544
36,22.15,10,10,40,300,450.001,572.181,33.833,2.167,0.123,0.541
36,22.15,10,10,40,300,500.001,572.592,33.8,2.166,0.123,0.538
36,22.15,10,10,40,300,550.001,572.962,33.804,2.164,0.123,0.533
36,22.15,10,10,40,300,600.001,573.264,33.863,2.163,0.123,0.527
